word1,word2,word3,word4,label,meta_category,original_category
wombat,geoduck,seahorse,titmouse,1,Members of a Set/Entities,animals ending with animals
wombat,seahorse,dill,geoduck,0,Members of a Set/Entities,Hard Distractor
seahorse,wombat,geoduck,faze,0,Members of a Set/Entities,Random Distractor
newt,frog,bat,dog,1,Members of a Set/Entities,animals in the witches' brew in “macbeth”
newt,bat,dodo,dog,0,Members of a Set/Entities,Hard Distractor
bat,dog,frog,unique,0,Members of a Set/Entities,Random Distractor
anther,hark,easel,lama,1,Word Structure/Play,animals minus starting letter
hark,40,anther,easel,0,Word Structure/Play,Hard Distractor
lama,poultry,anther,hark,0,Word Structure/Play,Random Distractor
lynx,ibex,oryx,fox,1,Members of a Set/Entities,animals that end with “x”
ibex,fox,bat,lynx,0,Members of a Set/Entities,Hard Distractor
oryx,ice,ibex,lynx,0,Members of a Set/Entities,Random Distractor
horsefly,bulldog,turtledove,catfish,1,Members of a Set/Entities,animals whose names are two animals
bulldog,dna,horsefly,turtledove,0,Members of a Set/Entities,Hard Distractor
operate,catfish,turtledove,horsefly,0,Members of a Set/Entities,Random Distractor
elephant,hippo,warthog,narwhal,1,Members of a Set/Entities,animals with tusks
poultry,elephant,hippo,warthog,0,Members of a Set/Entities,Hard Distractor
hippo,toady,warthog,narwhal,0,Members of a Set/Entities,Random Distractor
trumpet,herald,broadcast,declare,1,Noun/Concept Synonyms,announce
broadcast,declare,circuit,herald,0,Noun/Concept Synonyms,Hard Distractor
herald,declare,broadcast,bee,0,Noun/Concept Synonyms,Random Distractor
bah,grinch,coal,naughty,1,Trivia/Pop Culture,anti-spirit of christmas
grouch,grinch,bah,coal,0,Trivia/Pop Culture,Hard Distractor
grinch,placed,bah,coal,0,Trivia/Pop Culture,Random Distractor
garlic,mirror,crucifix,stake,1,Noun/Concept Synonyms,anti-vampire
mirror,knock,crucifix,stake,0,Noun/Concept Synonyms,Hard Distractor
mirror,crucifix,stake,angel,0,Noun/Concept Synonyms,Random Distractor
gov,chem,bio,stats,1,Noun/Concept Synonyms,ap classes
stats,gov,rate,chem,0,Noun/Concept Synonyms,Hard Distractor
gov,clove,chem,stats,0,Noun/Concept Synonyms,Random Distractor
height,top,peak,max,1,Noun/Concept Synonyms,apex
top,height,max,guide,0,Noun/Concept Synonyms,Hard Distractor
peak,height,top,gasps,0,Noun/Concept Synonyms,Random Distractor
shade,spirit,specter,wight,1,Noun/Concept Synonyms,apparition
shade,spirit,pancake,specter,0,Noun/Concept Synonyms,Hard Distractor
shade,wight,fig,spirit,0,Noun/Concept Synonyms,Random Distractor
phantom,ghost,spirit,specter,1,Noun/Concept Synonyms,apparitions
bake,specter,ghost,spirit,0,Noun/Concept Synonyms,Hard Distractor
spirit,phantom,fin,ghost,0,Noun/Concept Synonyms,Random Distractor
dress,manner,style,look,1,Noun/Concept Synonyms,appearance
compass,style,manner,dress,0,Noun/Concept Synonyms,Hard Distractor
dress,style,look,camper,0,Noun/Concept Synonyms,Random Distractor
arm,wing,fin,flipper,1,Noun/Concept Synonyms,appendages
cyclone,wing,flipper,fin,0,Noun/Concept Synonyms,Hard Distractor
arm,fin,flipper,mushroom,0,Noun/Concept Synonyms,Random Distractor
popper,nacho,wing,fry,1,Noun/Concept Synonyms,appetizer unit
